CERT,Bank_Name,City,ST,Acquiring_Institution,Closing_Date,Updated_Date
30600,Lincoln Park Savings Bank,Chicago,IL,Northbrook Bank & Trust Company,2010-04-23,2012-08-23
34821,New Century Bank,Chicago,IL,"MB Financial Bank, N.A.",2010-04-23,2012-08-23
34658,Citizens Bank and Trust Company of Chicago,Chicago,IL,Republic Bank of Chicago,2010-04-23,2014-06-05
22853,Broadway Bank,Chicago,IL,"MB Financial Bank, N.A.",2010-04-23,2012-08-23
3735,"Amcore Bank, National Association",Rockford,IL,Harris N.A.,2010-04-23,2012-08-23
21521,City Bank,Lynnwood,WA,Whidbey Island Bank,2010-04-16,2012-09-14
33493,Tamalpais Bank,San Rafael,CA,"Union Bank, N.A.",2010-04-16,2012-08-23
23876,Innovative Bank,Oakland,CA,Center Bank,2010-04-16,2012-08-23
26619,Butler Bank,Lowell,MA,People's United Bank,2010-04-16,2012-08-23
24067,Riverside National Bank of Florida,Fort Pierce,FL,"TD Bank, N.A.",2010-04-16,2014-03-21
57724,AmericanFirst Bank,Clermont,FL,"TD Bank, N.A.",2010-04-16,2014-03-21
28886,First Federal Bank of North Florida,Palatka,FL,"TD Bank, N.A.",2010-04-16,2014-03-21
34878,Lakeside Community Bank,Sterling Heights,MI,No Acquirer,2010-04-16,2012-08-23
34242,Beach First National Bank,Myrtle Beach,SC,Bank of North Carolina,2010-04-09,2014-03-21
57060,Desert Hills Bank,Phoenix,AZ,New York Community Bank,2010-03-26,2012-08-23
34678,Unity National Bank,Cartersville,GA,Bank of the Ozarks,2010-03-26,2015-09-21
34684,Key West Bank,Key West,FL,Centennial Bank,2010-03-26,2017-02-09
57399,McIntosh Commercial Bank,Carrollton,GA,CharterBank,2010-03-26,2016-07-11
8221,State Bank of Aurora,Aurora,MN,Northern State Bank,2010-03-19,2016-08-08
24957,First Lowndes Bank,Fort Deposit,AL,First Citizens Bank,2010-03-19,2014-03-21
10054,Bank of Hiawassee,Hiawassee,GA,Citizens South Bank,2010-03-19,2014-03-21
33989,Appalachian Community Bank,Ellijay,GA,Community & Southern Bank,2010-03-19,2014-03-21
33535,Advanta Bank Corp.,Draper,UT,No Acquirer,2010-03-19,2016-03-31
58104,Century Security Bank,Duluth,GA,Bank of Upson,2010-03-19,2016-04-13
18806,American National Bank,Parma,OH,The National Bank and Trust Company,2010-03-19,2015-09-21
29561,Statewide Bank,Covington,LA,Home Bank,2010-03-12,2012-08-23
58182,Old Southern Bank,Orlando,FL,Centennial Bank,2010-03-12,2017-02-09
27096,The Park Avenue Bank,New York,NY,Valley National Bank,2010-03-12,2012-08-23
58071,LibertyPointe Bank,New York,NY,Valley National Bank,2010-03-11,2012-08-23
34430,Centennial Bank,Ogden,UT,No Acquirer,2010-03-05,2012-09-14
34976,Waterfield Bank,Germantown,MD,No Acquirer,2010-03-05,2012-08-23
9268,Bank of Illinois,Normal,IL,Heartland Bank and Trust Company,2010-03-05,2012-08-23
27126,Sun American Bank,Boca Raton,FL,First-Citizens Bank & Trust Company,2010-03-05,2014-03-21
38129,Rainier Pacific Bank,Tacoma,WA,Umpqua Bank,2010-02-26,2012-08-23
58352,Carson River Community Bank,Carson City,NV,Heritage Bank of Nevada,2010-02-26,2013-01-15
32423,"La Jolla Bank, FSB",La Jolla,CA,"OneWest Bank, FSB",2010-02-19,2012-08-24
29952,George Washington Savings Bank,Orland Park,IL,"FirstMerit Bank, N.A.",2010-02-19,2012-08-24
3287,The La Coste National Bank,La Coste,TX,Community National Bank,2010-02-19,2014-08-19
57586,Marco Community Bank,Marco Island,FL,Mutual of Omaha Bank,2010-02-19,2017-07-20
15448,1st American State Bank of Minnesota,Hancock,MN,"Community Development Bank, FSB",2010-02-05,2013-11-01
16730,American Marine Bank,Bainbridge Island,WA,Columbia State Bank,2010-01-29,2012-08-24
23011,First Regional Bank,Los Angeles,CA,First-Citizens Bank & Trust Company,2010-01-29,2016-03-04
5702,Community Bank and Trust,Cornelia,GA,SCBT National Association,2010-01-29,2016-04-13
16133,"Marshall Bank, N.A.",Hallock,MN,United Valley Bank,2010-01-29,2012-08-23
5672,Florida Community Bank,Immokalee,FL,"Premier American Bank, N.A.",2010-01-29,2014-03-21
16480,First National Bank of Georgia,Carrollton,GA,Community & Southern Bank,2010-01-29,2014-03-21
22469,Columbia River Bank,The Dalles,OR,Columbia State Bank,2010-01-22,2012-09-14
20501,Evergreen Bank,Seattle,WA,Umpqua Bank,2010-01-22,2013-01-15
32498,Charter Bank,Santa Fe,NM,Charter Bank,2010-01-22,2012-08-23
8265,Bank of Leeton,Leeton,MO,"Sunflower Bank, N.A.",2010-01-22,2013-01-15
